,Purchase Order,Product,Variant,SKU,PO Date,Quantity,Cost,Total Cost,comment_x,status_x,date_x,comment_y,status_y,date_y,comment,status,date,row_colour
0,21817,SHASHIKO LINEN NAPKIN,ecru / coral,SHA-NP-33-14,17/09/2024,8,"14,00","112,00",,,,,,,nan,,,
1,21834,PLAIN WHITE BEDDING,Pillow Case / King (90cm x 50cm),PW-KPC-00,05/11/2024,2,"13,00","26,00",,,,,,,nan,,,
2,21837,CELESTIAL BIRDS PLACEMAT,ecru,CEL-PLAC-33,11/11/2024,2,,,,,,,,,nan,,,
3,21837,CELESTIAL BIRDS PLACEMAT,pink,CEL-PLAC-11,11/11/2024,2,,,,,,,,,nan,,,
4,21837,CELESTIAL BIRDS PLACEMAT,teal,CEL-PLAC-15,11/11/2024,2,,,,,,,,,nan,,,
5,21837,CROCHET PLACEMAT,terracotta,CR-PLAC-56,11/11/2024,1,,,,,,,,,nan,,,
6,21837,DAKHIRA NAPKIN,aqua,DAKH-NP-17,11/11/2024,2,,,,,,,,,nan,,,
7,21837,DAKHIRA NAPKIN,pink,DAKH-NP-11,11/11/2024,2,,,,,,,,,nan,,,
8,21837,OTTOMAN FEATHER COCKTAIL NAPKINS (Set of 6),terracotta,OTF-CNP-73,11/11/2024,6,,,,,,,,,nan,,,
9,21837,LUXOR PALM GUEST TOWEL (Set of 2),Default Title,LXPL-GUTW-82,11/11/2024,1,,,,,,,,,nan,,,#FFFF00
10,21844,CHILDREN’S COSMOS CUSHION COVER,Cosmos,CM-BS,08/12/2024,1,"14,00","14,00",,,,,,,nan,,,#FFFF00
11,21844,SHASHIKO BEDDING,Duvet Cover / Twin Long (155cm x 220cm) / blue,SHA-TNDL-20,08/12/2024,1,"104,00","104,00",,,,,,,nan,,,#FFFF00
12,21861,BIRDLIFE COCKTAIL NAPKINS (Set of 6),Default Title,BIR-CNP,07/02/2025,10,"11,00","110,00",,,,,,,nan,,,#FFFF00
13,21861,SHASHIKO LINEN NAPKIN,taupe / ivory,SHA-NP-03-33,07/02/2025,10,"14,00","140,00",,,,,,,nan,,,#FFFF00
14,21861,SHASHIKO LINEN PLACEMAT,taupe / ivory,SHA-PLAC-03-33,07/02/2025,10,"11,00","110,00",,,,,,,nan,,,#FFFF00
15,21862,ROYAL PALM LINEN CUSHION COVER special size,40cm x 85cm,LNPL-RTCU-40-85,11/02/2025,1,"33,00","33,00",,,,,,,nan,,,
16,21863,OTTOMAN VASE TABLECLOTH SPECIAL SIZE,Cinnamon / 350cm x 150cm,,12/02/2025,1,"207,00","207,00",,,,,,,nan,,,#FFFF00
17,21864,CROCHET PLACEMAT,terracotta,CR-PLAC-56,13/02/2025,2,"13,00","26,00",,,,,,,nan,,,
18,21864,OTTOMAN FEATHER GUEST TOWEL (Set of 2),teal,OTF-GUTW-15,13/02/2025,2,"17,00","34,00",,,,,,,nan,,,
19,21864,OTTOMAN FEATHER GUEST TOWEL (Set of 2),terracotta,OTF-GUTW-73,13/02/2025,2,"17,00","34,00",,,,,,,nan,,,
20,21864,OTTOMAN FEATHER NAPKIN,teal,OTF-NP-15,13/02/2025,6,"9,00","54,00",,,,,,,nan,,,#FFFF00
21,21864,FOLK NAPKIN (Set of 6),Default Title,FOLK-NP-82,13/02/2025,1,"48,00","48,00",,,,,,,nan,,,
22,21864,OTTOMAN FEATHER COCKTAIL NAPKINS (Set of 6),teal,OTF-CNP-15,13/02/2025,2,"15,00","30,00",,,,,,,nan,,,
23,21864,DAKHIRA NAPKIN,aqua,DAKH-NP-17,13/02/2025,6,"9,00","54,00",,,,,,,nan,,,
24,21864,STELLAR CUSHION COVER,blue,STL-CU-20,13/02/2025,1,"16,00","16,00",,,,,,,nan,,,
25,21864,STELLAR CUSHION COVER,pink,STL-CU-11,13/02/2025,2,"16,00","32,00",,,,,,,nan,,,
26,21864,STELLAR CUSHION COVER,teal,STL-CU-15,13/02/2025,2,"16,00","32,00",,,,,,,nan,,,
27,21867,BEE NAPKIN,orange / pink,BEE-NP-04/11,02/03/2025,12,"9,00","108,00",,,,,,,nan,,,#FFFF00
28,21867,FEATHER STITCH BEDDING,Flat Sheet / King Size (275cm x 290cm) / beige,FTH-KS-12,02/03/2025,2,"55,00","110,00",,,,,,,nan,,,#FFFF00
29,21867,FEATHER STITCH BEDDING,Duvet Cover / Super King (260cm x 220cm) / beige,FTH-SKD-12,02/03/2025,2,"91,00","182,00",,,,,,,nan,,,#FFFF00
