Purchase Order,Invoice No,Vendor,Supplier,Product,Variant,Product Type,SKU,Barcode,Shopify ID,Supplier Code,ASIN,Vendor Code,Text 2,Text 3,Status,PO Date,Confirmed Date,Expected Date,Ship Date,Cancel Date,Received at,Retail Price,Stock,Ordered,Quantity,Cost,Total Cost,Cost (Supplier Currency),Total Cost (Supplier Currency),Total Retail,Shipping Company Name,Shipping Address 1,Shipping Address 2,Shipping City,Shipping State / Province,Shipping Zip / Postcode,Shipping Country
21817,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO LINEN NAPKIN,ecru / coral,Napkin,SHA-NP-33-14,7E+12,1.31516E+13,,,,,,not delivered,27/08/2024,17/09/2024,15/10/2024,,,,"53,00",0,8,8,"14,00","112,00",,,"424,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21867,,Al-Malaika for Manufacturing Textiles S.A.E.,,FEATHER STITCH BEDDING,Pillow Case / Queen/Single (75cm x 50cm) / beige,Bedding,FTH-QSLPC-12,7E+12,3.09853E+11,,,,,,not delivered,24/02/2025,02/03/2025,30/03/2025,,,,"55,00",8,2,2,"16,00","32,00",,,"110,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21873,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Pillow Case / Queen/Single G (40cm x 80cm) / beige,Bedding,PP-QSLPCG-12,7E+12,1.23014E+13,,,,,,not delivered,16/03/2025,16/03/2025,13/04/2025,,,,"38,00",0,4,4,"12,00","48,00",,,"152,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21875,,Al-Malaika for Manufacturing Textiles S.A.E.,,BEES PLACEMAT,multi colour,Placemats,BEE-PLAC-33,7E+12,3.94394E+13,,,,,,not delivered,17/03/2025,25/03/2025,22/04/2025,,,,"47,00",6,6,6,"12,00","72,00",,,"282,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21876,,Al-Malaika for Manufacturing Textiles S.A.E.,,CHILDREN’S EMBROIDERED LAUNDRY BAG,Stars,Bags,STA-LABG-10,7E+12,4.23704E+13,,,,,,not delivered,27/03/2025,07/04/2025,05/05/2025,,,,"55,00",0,1,1,"16,00","16,00",,,"55,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21876,,Al-Malaika for Manufacturing Textiles S.A.E.,,STARS COT BEDDING,Cot Duvet Cover,sheet,STA-CD-11,7E+12,2.81835E+13,,,,,,not delivered,27/03/2025,07/04/2025,05/05/2025,,,,"98,00",1,1,1,"38,00","38,00",,,"98,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21876,,Al-Malaika for Manufacturing Textiles S.A.E.,,TULIP NAPKIN,amber,Napkin,TU-NP-05,7E+12,3.94395E+13,,,,,,not delivered,27/03/2025,07/04/2025,05/05/2025,,,,"48,00",0,18,18,"11,00","198,00",,,"864,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21876,,Al-Malaika for Manufacturing Textiles S.A.E.,,TULIP NAPKIN,coral,Napkin,TU-NP-14,7E+12,3.95114E+13,,,,,,not delivered,27/03/2025,07/04/2025,05/05/2025,,,,"48,00",0,18,18,"11,00","198,00",,,"864,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21876,,Al-Malaika for Manufacturing Textiles S.A.E.,,TULIP NAPKIN,blue,Napkin,TU-NP-20,7E+12,3.94395E+13,,,,,,not delivered,27/03/2025,07/04/2025,05/05/2025,,,,"48,00",8,12,12,"11,00","132,00",,,"576,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21879,,Al-Malaika for Manufacturing Textiles S.A.E.,,PALM TREE BEDDING special colour,Duvet Cover / Single (140cm x 200cm) / beige with dates in DMC 3847,Bedding,PL-SLD-12-special-3847,,5.12017E+13,,,,,,not delivered,06/04/2025,07/04/2025,05/05/2025,,,,"250,00",0,2,2,"62,00","124,00",,,"500,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21881,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING,Cushion Cover / Small (41cm x 30cm) / blue,Bedding,SHA-BS-20,7E+12,3.04061E+11,,,,,,not delivered,07/04/2025,07/04/2025,05/05/2025,,,,"68,00",2,2,2,"23,00","46,00",,,"136,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21881,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING,Pillow Case / Large Square (80cm x 80cm) / blue,Bedding,SHA-SQPCXL-20,7E+12,1.3151E+13,,,,,,not delivered,07/04/2025,07/04/2025,05/05/2025,,,,"97,00",-4,6,2,"32,00","64,00",,,"194,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21881,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING SPECIAL Size,Duvet Cover / 135cm x 200cm / blue,Bedding,SHA-SLD-20-special size,,5.12188E+13,,,,,,not delivered,07/04/2025,07/04/2025,05/05/2025,,,,"313,00",0,4,3,"92,00","276,00",,,"939,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21881,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING SPECIAL Size,Duvet Cover / 135cm x 200cm / blue,Bedding,SHA-SLD-20-special size,,5.12188E+13,,,,,,not delivered,07/04/2025,07/04/2025,05/05/2025,,,,"313,00",0,4,1,"92,00","92,00",,,"313,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21881,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING,Pillow Case / Large Square (80cm x 80cm) / blue,Bedding,SHA-SQPCXL-20,7E+12,1.3151E+13,,,,,,not delivered,07/04/2025,07/04/2025,05/05/2025,,,,"97,00",-4,6,2,"32,00","64,00",,,"194,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21883,,Al-Malaika for Manufacturing Textiles S.A.E.,,CROCHET NAPKIN,terracotta,Napkin,CR-NP-73,,4.6123E+13,,,,,,not delivered,08/04/2025,22/04/2025,20/05/2025,,,,"29,00",6,12,12,"7,00","84,00",,,"348,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21883,,Al-Malaika for Manufacturing Textiles S.A.E.,,BOUQUET NAPKIN,blue,Napkin,BO-NP-20,7E+12,3.94394E+13,,,,,,not delivered,08/04/2025,22/04/2025,20/05/2025,,,,"48,00",0,18,18,"11,00","198,00",,,"864,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21887,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING,Pillow Case / Large Square (80cm x 80cm) / blue,Bedding,SHA-SQPCXL-20,7E+12,1.3151E+13,,,,,,not delivered,27/04/2025,27/04/2025,25/05/2025,,,,"97,00",-4,6,2,"32,00","64,00",,,"194,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21887,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO BEDDING,Pillow Case / Large Square (80cm x 80cm) / coral,Bedding,SHA-SQPCXL-14,7E+12,1.3151E+13,,,,,,not delivered,27/04/2025,27/04/2025,25/05/2025,,,,"97,00",-2,4,4,"32,00","128,00",,,"388,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21888,,Al-Malaika for Manufacturing Textiles S.A.E.,,MOUDIRA PALM CUSHION COVER,Rectanglar (41cm x 30cm),Cushion,LXPL-BS,,4.45925E+13,,,,,,not delivered,27/04/2025,29/04/2025,27/05/2025,,,,"60,00",3,9,2,"14,00","28,00",,,"120,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21888,,Al-Malaika for Manufacturing Textiles S.A.E.,,TILAPIA GUEST TOWELS (Set of 2),aqua,Guest Towels,TIL-GUTW-17,7E+12,4.22853E+13,,,,,,not delivered,27/04/2025,29/04/2025,27/05/2025,,,,"59,00",-2,8,4,"17,00","68,00",,,"236,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21888,,Al-Malaika for Manufacturing Textiles S.A.E.,,PLEATS PLACEMAT,ecru / ivory,Placemats,PLT-PLAC-33-33,7E+12,1.08338E+12,,,,,,not delivered,27/04/2025,29/04/2025,27/05/2025,,,,"18,00",6,6,6,"5,00","30,00",,,"108,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21888,,Al-Malaika for Manufacturing Textiles S.A.E.,,PLEATS PLACEMAT,taupe / ivory,Placemats,PLT-PLAC-03-33,7E+12,1.08338E+12,,,,,,not delivered,27/04/2025,29/04/2025,27/05/2025,,,,"18,00",1,6,6,"5,00","30,00",,,"108,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small (30cm x 41cm) / pink,Bedding,PP-BS-11,7E+12,3.94808E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"25,00",1,1,1,"7,00","7,00",,,"25,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small Square (40cm x 40cm) / sky,Bedding,PP-SSQCU-10,7E+12,3.94352E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"28,00",0,1,1,"8,00","8,00",,,"28,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small Square (40cm x 40cm) / pink,Bedding,PP-SSQCU-11,7E+12,3.94352E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"28,00",0,1,1,"8,00","8,00",,,"28,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small Square (40cm x 40cm) / navy,Bedding,PP-SSQCU-02,7E+12,3.94352E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"28,00",0,1,1,"8,00","8,00",,,"28,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small Square (40cm x 40cm) / grey,Bedding,PP-SSQCU-09,7E+12,3.94352E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"28,00",0,1,1,"8,00","8,00",,,"28,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small Square (40cm x 40cm) / beige,Bedding,PP-SSQCU-12,7E+12,3.94352E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"28,00",0,1,1,"8,00","8,00",,,"28,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small (30cm x 41cm) / sky,Bedding,PP-BS-10,7E+12,3.26701E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"25,00",0,3,3,"7,00","21,00",,,"75,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small (30cm x 41cm) / orange,Bedding,PP-BS-04,7E+12,3.94352E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"25,00",0,2,2,"7,00","14,00",,,"50,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small (30cm x 41cm) / navy,Bedding,PP-BS-02,7E+12,3.00989E+11,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"25,00",0,2,2,"7,00","14,00",,,"50,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Cushion Cover / Small (30cm x 41cm) / grey,Bedding,PP-BS-09,7E+12,3.00941E+11,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"25,00",0,2,2,"7,00","14,00",,,"50,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,Fitted Sheets (All Sizes),King (180cm x 200cm x 35cm),Bedding,K-FITS-00,7E+12,1.29899E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"150,00",6,2,2,"34,00","68,00",,,"300,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,PALM TREE BEDDING,Duvet Cover / Twin (155cm x 200cm) / beige,Bedding,PL-TND-12,7E+12,1.31507E+13,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"278,00",-2,2,2,"68,00","136,00",,,"556,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21893,,Al-Malaika for Manufacturing Textiles S.A.E.,,PALM TREE BEDDING,Pillow Case / Queen/Single (75cm x 50cm) / beige,Bedding,PL-QSLPC-12,7E+12,3.14152E+11,,,,,,not delivered,05/05/2025,06/05/2025,03/06/2025,,,,"57,00",8,2,2,"16,00","32,00",,,"114,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21894,,Al-Malaika for Manufacturing Textiles S.A.E.,,SULTANA CUSHION COVER,Default Title,Cushion,SLT-CU,7E+12,4.35916E+13,,,,,,not delivered,07/05/2025,07/05/2025,04/06/2025,,,,"132,00",-2,4,4,"30,00","120,00",,,"528,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,ROYAL PALM LINEN CUSHION COVER,50cm x 50cm,Cushion,LNPL-SQCU-03,7E+12,1.54051E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"93,00",3,7,5,"27,00","135,00",,,"465,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Duvet Cover / Single (140cm x 200cm) / navy,Bedding,PP-SLD-02,7E+12,3.00989E+11,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"165,00",0,2,2,"39,00","78,00",,,"330,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Pillow Case / Queen/Single G (40cm x 80cm) / navy,Bedding,PP-QSLPCG-02,7E+12,1.23013E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"38,00",3,2,2,"12,00","24,00",,,"76,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,PLAIN WHITE BEDDING,Flat Sheet / King (275cm x 290cm),Bedding,PW-KS-00,7E+12,1.23816E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"180,00",1,2,2,"45,00","90,00",,,"360,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,ORCHARD PLACEMAT,beige,Placemats,CAIOR-PLAC,7E+12,3.3337E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"26,00",7,6,6,"8,00","48,00",,,"156,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,THE ZIGZAG PLACEMAT,orange,Placemats,ZZ-PLAC-04,7E+12,3.22825E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"25,00",0,6,6,"8,00","48,00",,,"150,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,BEE BEDDING,Cushion Cover / Small Square (40cm x 40cm) / yellow/grey,Bedding,BEE-SSQCU-05,7E+12,3.95062E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"55,00",0,1,1,"15,00","15,00",,,"55,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,MOUDIRA PALM CUSHION COVER,Rectanglar (41cm x 30cm),Cushion,LXPL-BS,,4.45925E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"60,00",3,9,1,"14,00","14,00",,,"60,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,JULIA NAPKIN,amber,Napkin,JUL-NP-05,7E+12,4.37394E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"30,00",2,16,16,"6,00","96,00",,,"480,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,CROCHET NAPKIN,teal,Napkin,CR-NP-15,,4.6123E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"29,00",0,40,16,"7,00","112,00",,,"464,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,BEE BEDDING,Pillow Case / Large Square (80cm x 80cm) / yellow/grey,Bedding,BEE-SQPCXL-05,7E+12,1.31466E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"67,00",0,2,2,"21,00","42,00",,,"134,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21895,,Al-Malaika for Manufacturing Textiles S.A.E.,,BEE NAPKIN,blue / aqua,Napkin,BEE-NP-20/17,,4.66105E+13,,,,,,not delivered,08/05/2025,10/05/2025,07/06/2025,,,,"25,00",14,2,2,"9,00","18,00",,,"50,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21896,,Al-Malaika for Manufacturing Textiles S.A.E.,,FARIDA (PEACOCK) BEDDING,Cushion Cover / Small (41cm x 30cm),Bedding,FR-BS-12,7E+12,3.14395E+11,,,,,,not delivered,11/05/2025,11/05/2025,08/06/2025,,,,"50,00",1,1,1,"14,00","14,00",,,"50,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21896,,Al-Malaika for Manufacturing Textiles S.A.E.,,FARIDA (PEACOCK) BEDDING,Pillow Case / King (90cm x 50cm),Bedding,FR-KPC-12,7E+12,3.14395E+11,,,,,,not delivered,11/05/2025,11/05/2025,08/06/2025,,,,"63,00",-4,4,4,"17,00","68,00",,,"252,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21896,,Al-Malaika for Manufacturing Textiles S.A.E.,,FARIDA (PEACOCK) BEDDING,Pillow Case / Small Queen/Single G (60cm x 40cm),Bedding,FR-SQSLPCG-12,7E+12,4.4389E+13,,,,,,not delivered,11/05/2025,11/05/2025,08/06/2025,,,,"55,00",0,1,1,"16,00","16,00",,,"55,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21896,,Al-Malaika for Manufacturing Textiles S.A.E.,,FARIDA (PEACOCK) BEDDING,Flat Sheet / King Size (275cm x 290cm),Bedding,FR-KS-12,7E+12,3.14394E+11,,,,,,not delivered,11/05/2025,11/05/2025,08/06/2025,,,,"220,00",-1,1,1,"55,00","55,00",,,"220,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21897,,Al-Malaika for Manufacturing Textiles S.A.E.,,ROYAL PALM LINEN CUSHION COVER,50cm x 50cm,Cushion,LNPL-SQCU-03,7E+12,1.54051E+13,,,,,,not delivered,13/05/2025,13/05/2025,10/06/2025,,,,"93,00",3,7,2,"27,00","54,00",,,"186,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
