Purchase Order,Invoice No,Vendor,Supplier,Product,Variant,Product Type,SKU,Barcode,Shopify ID,Supplier Code,ASIN,Vendor Code,Text 2,Text 3,Status,PO Date,Confirmed Date,Expected Date,Ship Date,Cancel Date,Received at,Retail Price,Stock,Ordered,Quantity,Cost,Total Cost,Cost (Supplier Currency),Total Cost (Supplier Currency),Total Retail,Shipping Company Name,Shipping Address 1,Shipping Address 2,Shipping City,Shipping State / Province,Shipping Zip / Postcode,Shipping Country
21817,,Al-Malaika for Manufacturing Textiles S.A.E.,,SHASHIKO LINEN NAPKIN,ecru / coral,Napkin,SHA-NP-33-14,7E+12,1.31516E+13,,,,,,not delivered,27/08/2024,17/09/2024,15/10/2024,,,,"53,00",0,8,8,"14,00","112,00",,,"424,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21834,,Al-Malaika for Manufacturing Textiles S.A.E.,,PLAIN WHITE BEDDING,Pillow Case / King (90cm x 50cm),Bedding,PW-KPC-00,7E+12,1.23816E+13,,,,,,not delivered,30/10/2024,05/11/2024,03/12/2024,,,,"48,00",6,2,2,"13,00","26,00",,,"96,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,CELESTIAL BIRDS PLACEMAT,ecru,Placemats,CEL-PLAC-33,,4.61231E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"63,00",0,2,2,,,,,"126,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,CELESTIAL BIRDS PLACEMAT,pink,Placemats,CEL-PLAC-11,,4.61231E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"63,00",0,2,2,,,,,"126,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,CELESTIAL BIRDS PLACEMAT,teal,Placemats,CEL-PLAC-15,,4.61231E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"63,00",0,2,2,,,,,"126,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,CROCHET PLACEMAT,terracotta,Placemats,CR-PLAC-56,,4.6123E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"63,00",0,3,1,,,,,"63,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,DAKHIRA NAPKIN,aqua,Napkin,DAKH-NP-17,,4.6123E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"29,00",0,8,2,,,,,"58,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,DAKHIRA NAPKIN,pink,Napkin,DAKH-NP-11,,4.6123E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"29,00",6,2,2,,,,,"58,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,OTTOMAN FEATHER COCKTAIL NAPKINS (Set of 6),terracotta,Napkin,OTF-CNP-73,,4.61231E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"59,00",2,6,6,,,,,"354,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21837,,Al-Malaika for Manufacturing Textiles S.A.E.,,LUXOR PALM GUEST TOWEL (Set of 2),Default Title,Towel,LXPL-GUTW-82,,4.61231E+13,,,,,,not delivered,11/11/2024,11/11/2024,09/12/2024,,,,"59,00",4,4,1,,,,,"59,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
