Purchase Order,Product,Variant,SKU,PO Date,Quantity,ETD,Comment,Customer Order
21867,FEATHER STITCH BEDDING,Pillow Case / Queen/Single (75cm x 50cm) / beige,FTH-QSLPC-12,2025-03-02,4,2025-05-06,,No
21883,CROCHET NAPKIN,terracotta,CR-NP-73,2025-04-22,12,2025-06-20,Luxor collection colourway,No
21888,TILAPIA GUEST TOWELS (Set of 2),aqua,TIL-GUTW-17,2025-04-29,4,2025-07-17,,No
21894,SULTANA CUSHION COVER,Default Title,SLT-CU,2025-05-07,4,2025-06-20,,Yes
21895,ORCHARD PLACEMAT,beige,CAIOR-PLAC,2025-05-10,6,2025-01-07,,No
21895,JULIA NAPKIN,amber,JUL-NP-05,2025-05-10,16,2025-07-01,,No
21898,TILAPIA GUEST TOWELS (Set of 2),aqua,TIL-GUTW-17,2025-05-20,4,2025-07-17,,No
21898,TILAPIA GUEST TOWELS (Set of 2),blush,TIL-GUTW-72,2025-05-20,4,2025-07-17,,No
21895,ROYAL PALM LINEN CUSHION COVER,50cm x 50cm,LNPL-SQCU-03,2025-05-08,5,,,No
21904,CROCHET NAPKIN,teal,CR-NP-15,2025-06-06,12,,,No
21904,CROCHET NAPKIN,teal,CR-NP-15,2025-06-06,12,,,No
21904,CHILDREN’S EMBROIDERED TRAVEL BAG,Butterfly,NV-TRBG-11,2025-06-06,1,,,No
21909,SCARLET NAPKIN,Default Title,SCL-NP-16,,8,,,
21909,BIG FISH BEACH TOWEL,blue,BIGFI-BETW-15-20,,5,,,
21909,BIRD NAPKIN (SET OF 3),sky blue,BIR-NP-10,,3,,,
21909,EMBROIDERED LAUNDRY BAG,Rania / aqua,RN-LABG-15,,1,,,
21909,ZIG ZAG NAPKIN,green,ZZ-NP-19,,24,,,
21909,LUXOR PALM GUEST TOWEL (Set of 2),Default Title,LXPL-GUTW-82,,5,,,
21910,BIRD NAPKIN (SET OF 3),green,BIR-NP-19,,7,,,
21911,RED SEA BEACH TOWEL,terracotta,RESE-BETW-73,,10,,,
21913,MARWA LINEN CONTRAST EDGE NAPKINS,coral/amber,OV-NP-33-14/05,,12,,,
21913,Fitted Sheets (All Sizes),Super King Plus (200cm x 210cm x 35cm),SKP-FITS-00,,1,,,
21914,TULIP NAPKIN,amber,TU-NP-05,,6,,,
21914,RED SEA GUEST TOWEL (Set of 2),Default Title,RESE-GUTW-82,,2,,,
21914,ROYAL PALM LINEN CUSHION COVER,50cm x 50cm,LNPL-SQCU-03,,2,,,
21914,SCARAB COCKTAIL NAPKINS (Set of 6),light blue,SC-CNP-33-10,,6,,,
21914,PALM TREE GUEST TOWEL (Set of 2),beige,PL-GUTW-12,,4,,,
21914,LUXOR PALM GUEST TOWEL (Set of 2),Default Title,LXPL-GUTW-82,,2,,,
21914,RED SEA BEACH TOWEL,white,RESE-BETW-00,,5,,,
21914,MARWA LINEN CONTRAST EDGE NAPKINS,coral/amber,OV-NP-33-14/05,,14,,,
21914,MARWA LINEN CONTRAST EDGE NAPKINS,amber,OV-NP-33-05a,,12,,,
21914,ESNA BEACH TOWEL,teal,ESN-BETW-15,,5,,,
21914,ESNA BEACH TOWEL,terracotta,ESN-BETW-73,,4,,,
21914,ESNA BEACH TOWEL,white,ESN-BETW-00,,3,,,
21914,BIG FISH BEACH TOWEL,blue,BIGFI-BETW-15-20,,3,,,
21916,MAMLUK CUSHION COVER,60cm x 40cm / amber,CO-CU-05,,4,,,
21917,CAIRO PALM NAPKIN,Default Title,CAIPL-NP,,15,,,
21917,RED SEA BEACH TOWEL,white,RESE-BETW-00,,7,,,
21917,CROCHET NAPKIN,teal,CR-NP-15,,12,,,
21918,PALM TREE COCKTAIL NAPKINS (Set of 6),beige,PL-CNP-33-12,,5,,,
21918,BEE BEDDING Special Colour,Pillow Case / Small Queen/Single G (60cm x 40cm) / Pink/light silver,,,1,,,
21918,BEE BEDDING Special Colour,Cushion Cover / Small (41cm x 30cm) / Pink/light silver,,,1,,,
